Shooter ID,Shooter position,Defender ID,Defender position,Defend Success,Shooter Cluster,Defender Cluster
2733,PG,2590,PG,0,4,1
203521,PG,201939,PG,0,4,3
201939,PG,203521,PG,0,3,4
201939,PG,203521,PG,0,3,4
203521,PG,201939,PG,1,4,3
201939,PG,203521,PG,1,3,4
203521,PG,201939,PG,1,4,3
201939,PG,203521,PG,1,3,4
2590,PG,2733,PG,1,1,4
2733,PG,203521,PG,1,4,4
201939,PG,203521,PG,1,3,4
201939,PG,203521,PG,1,3,4
201939,PG,203521,PG,1,3,4
2225,PG,201976,PG,0,3,4
201976,PG,2225,PG,0,4,3
201951,PG,201988,PG,0,1,4
201976,PG,2225,PG,1,4,3
2225,PG,201976,PG,1,3,4
201976,PG,2225,PG,1,4,3
201951,PG,201988,PG,1,1,4
201976,PG,2225,PG,1,4,3
2225,PG,201976,PG,1,3,4
201976,PG,2225,PG,1,4,3
201988,PG,201951,PG,1,4,1
201951,PG,201988,PG,1,1,4
1626156,PG,101108,PG,0,1,3
101108,PG,1626156,PG,0,3,1
1626156,PG,101108,PG,0,1,3
101108,PG,1626156,PG,0,3,1
1626156,PG,101108,PG,0,1,3
101108,PG,1626156,PG,0,3,1
1626156,PG,101108,PG,1,1,3
101108,PG,1626156,PG,1,3,1
101108,PG,1626156,PG,1,3,1
1626156,PG,101108,PG,1,1,3
1626156,PG,101108,PG,1,1,3
101108,PG,1626156,PG,1,3,1
1626156,PG,101108,PG,1,1,3
200768,PG,203487,PG,0,3,0
203487,PG,200768,PG,1,0,3
200768,PG,203487,PG,1,3,0
200768,PG,203487,PG,1,3,0
200768,PG,203487,PG,1,3,0
200768,PG,203487,PG,1,3,0
203487,PG,200768,PG,1,0,3
200768,PG,203487,PG,1,3,0
203471,PG,204038,PG,0,1,4
204038,PG,203471,PG,0,4,1
203471,PG,204038,PG,0,1,4
203471,PG,204038,PG,0,1,4
101181,PG,201952,PG,0,4,1
201952,PG,101181,PG,0,1,4
101181,PG,203471,PG,0,4,1
201952,PG,101181,PG,0,1,4
203471,PG,204038,PG,0,1,4
201952,PG,204038,PG,0,1,4
201952,PG,204038,PG,0,1,4
201952,PG,101181,PG,1,1,4
203471,PG,204038,PG,1,1,4
204038,PG,203471,PG,1,4,1
203471,PG,101181,PG,1,1,4
101181,PG,201952,PG,1,4,1
204038,PG,203471,PG,1,4,1
203471,PG,204038,PG,1,1,4
203471,PG,204038,PG,1,1,4
201952,PG,204038,PG,1,1,4
201952,PG,204038,PG,1,1,4
201144,PG,202689,PG,0,3,0
201144,PG,202689,PG,0,3,0
202689,PG,201144,PG,0,0,3
201144,PG,202689,PG,0,3,0
202689,PG,201144,PG,0,0,3
201144,PG,202689,PG,0,3,0
201144,PG,202689,PG,0,3,0
201144,PG,202689,PG,0,3,0
202689,PG,201144,PG,0,0,3
201144,PG,202689,PG,0,3,0
201144,PG,202689,PG,1,3,0
201144,PG,202689,PG,1,3,0
201144,PG,202689,PG,1,3,0
202689,PG,201144,PG,1,0,3
201144,PG,202689,PG,1,3,0
202689,PG,201144,PG,1,0,3
201144,PG,202689,PG,1,3,0
202689,PG,201144,PG,1,0,3
201144,PG,202689,PG,1,3,0
202689,PG,201144,PG,1,0,3
202689,PG,201144,PG,1,0,3
201144,PG,202689,PG,1,3,0
201144,PG,202689,PG,1,3,0
201144,PG,202689,PG,1,3,0
201144,PG,202689,PG,1,3,0
201144,PG,202689,PG,1,3,0
201144,PG,202689,PG,1,3,0
201609,PG,203901,PG,0,4,2
203901,PG,201609,PG,0,2,4
201609,PG,203901,PG,0,4,2
201609,PG,203901,PG,0,4,2
201609,PG,203901,PG,0,4,2
201609,PG,203901,PG,0,4,2
203901,PG,201609,PG,0,2,4
203901,PG,201609,PG,0,2,4
203901,PG,201609,PG,0,2,4
203901,PG,201609,PG,0,2,4
203901,PG,201609,PG,0,2,4
201609,PG,203901,PG,0,4,2
203901,PG,201609,PG,0,2,4
201609,PG,203901,PG,1,4,2
201609,PG,203901,PG,1,4,2
201609,PG,203901,PG,1,4,2
201609,PG,203901,PG,1,4,2
201951,PG,201950,PG,0,1,0
201951,PG,201950,PG,1,1,0
201976,PG,201950,PG,1,4,0
201950,PG,201951,PG,1,0,1
202704,PG,202738,PG,0,3,3
202704,PG,202738,PG,0,3,3
202738,PG,2581,PG,0,3,1
202704,PG,202738,PG,1,3,3
202738,PG,202704,PG,1,3,3
202704,PG,202738,PG,1,3,3
202704,PG,202738,PG,1,3,3
202738,PG,202704,PG,1,3,3
101127,PG,202322,PG,0,1,0
202322,PG,101127,PG,0,0,1
202322,PG,203499,PG,0,0,1
202322,PG,101127,PG,0,0,1
202322,PG,101127,PG,0,0,1
202322,PG,101127,PG,0,0,1
101127,PG,202322,PG,0,1,0
101127,PG,202322,PG,0,1,0
202322,PG,101127,PG,0,0,1
203499,PG,201196,PG,0,1,3
201196,PG,203499,PG,0,3,1
101127,PG,201196,PG,0,1,3
101127,PG,202322,PG,1,1,0
101127,PG,202322,PG,1,1,0
202322,PG,101127,PG,1,0,1
101127,PG,202322,PG,1,1,0
101127,PG,202322,PG,1,1,0
202322,PG,101127,PG,1,0,1
101127,PG,202322,PG,1,1,0
201196,PG,203499,PG,1,3,1
101127,PG,202322,PG,1,1,0
202322,PG,101127,PG,1,0,1
101127,PG,201196,PG,1,1,3
201937,PG,201588,PG,0,2,4
201937,PG,201588,PG,0,2,4
201937,PG,201155,PG,1,2,1
201155,PG,201937,PG,1,1,2
201937,PG,201588,PG,1,2,4
201588,PG,201937,PG,1,4,2
201155,PG,201937,PG,1,1,2
201155,PG,201937,PG,1,1,2
200826,PG,201565,PG,0,1,1
201565,PG,200826,PG,0,1,1
200826,PG,201565,PG,0,1,1
101109,PG,2550,PG,0,1,4
101109,PG,2550,PG,0,1,4
201166,PG,200826,PG,0,4,1
201565,PG,101109,PG,0,1,1
200826,PG,201565,PG,0,1,1
201565,PG,200826,PG,0,1,1
201565,PG,200826,PG,0,1,1
200826,PG,201565,PG,0,1,1
200826,PG,201565,PG,0,1,1
200826,PG,201565,PG,0,1,1
2734,PG,2550,PG,0,3,4
201166,PG,200826,PG,0,4,1
201166,PG,200826,PG,0,4,1
2734,PG,201565,PG,0,3,1
201565,PG,2734,PG,0,1,3
201565,PG,101109,PG,0,1,1
200826,PG,201166,PG,0,1,4
201565,PG,101109,PG,0,1,1
201565,PG,101109,PG,1,1,1
101109,PG,2550,PG,1,1,4
2550,PG,101109,PG,1,4,1
101109,PG,201166,PG,1,1,4
2734,PG,2550,PG,1,3,4
2550,PG,2734,PG,1,4,3
201166,PG,200826,PG,1,4,1
201166,PG,200826,PG,1,4,1
101109,PG,201565,PG,1,1,1
201565,PG,200826,PG,1,1,1
201565,PG,200826,PG,1,1,1
201166,PG,200826,PG,1,4,1
2734,PG,201565,PG,1,3,1
201166,PG,101109,PG,1,4,1
201166,PG,200826,PG,1,4,1
201565,PG,101109,PG,1,1,1
2225,PG,2749,PG,0,3,1
2225,PG,2749,PG,0,3,1
2225,PG,2749,PG,0,3,1
2749,PG,2225,PG,0,1,3
2225,PG,2749,PG,0,3,1
2225,PG,2749,PG,1,3,1
2749,PG,2225,PG,1,1,3
2225,PG,2749,PG,1,3,1
202339,PG,202397,PG,0,3,0
202397,PG,202339,PG,0,0,3
202339,PG,203477,PG,0,3,1
202397,PG,101179,PG,0,0,4
202397,PG,101179,PG,0,0,4
202397,PG,101179,PG,0,0,4
202397,PG,202339,PG,1,0,3
202397,PG,202339,PG,1,0,3
202339,PG,202397,PG,1,3,0
203477,PG,101179,PG,1,1,4
202397,PG,101179,PG,1,0,4
202397,PG,101179,PG,1,0,4
101179,PG,202397,PG,1,4,0
202397,PG,101179,PG,1,0,4
101179,PG,202397,PG,1,4,0
203526,PG,101108,PG,0,1,3
203526,PG,101108,PG,0,1,3
101108,PG,203526,PG,0,3,1
101108,PG,203526,PG,0,3,1
203526,PG,101108,PG,0,1,3
101108,PG,203504,PG,0,3,4
101108,PG,203504,PG,0,3,4
101108,PG,203526,PG,0,3,1
101108,PG,203526,PG,0,3,1
101108,PG,203526,PG,0,3,1
203526,PG,101108,PG,1,1,3
101108,PG,203526,PG,1,3,1
203526,PG,101108,PG,1,1,3
101108,PG,203526,PG,1,3,1
203504,PG,101108,PG,1,4,3
101108,PG,203526,PG,1,3,1
101108,PG,203504,PG,1,3,4
203526,PG,101108,PG,1,1,3
101108,PG,203526,PG,1,3,1
203526,PG,101108,PG,1,1,3
202738,PG,204038,PG,0,3,4
202738,PG,101181,PG,0,3,4
202738,PG,101181,PG,0,3,4
101181,PG,202738,PG,0,4,3
202738,PG,204038,PG,0,3,4
202738,PG,204038,PG,0,3,4
204038,PG,202738,PG,0,4,3
101181,PG,202738,PG,1,4,3
202738,PG,101181,PG,1,3,4
202738,PG,101181,PG,1,3,4
202738,PG,101181,PG,1,3,4
101181,PG,202738,PG,1,4,3
202738,PG,101181,PG,1,3,4
202738,PG,204038,PG,1,3,4
202738,PG,101181,PG,1,3,4
202738,PG,101181,PG,1,3,4
204038,PG,202738,PG,1,4,3
202738,PG,204038,PG,1,3,4
202738,PG,204038,PG,1,3,4
204038,PG,202738,PG,1,4,3
201144,PG,1626156,PG,1,3,1
201144,PG,1626156,PG,1,3,1
2749,PG,201566,PG,0,1,2
2749,PG,201566,PG,0,1,2
201566,PG,2749,PG,1,2,1
2749,PG,201566,PG,1,1,2
2749,PG,201566,PG,1,1,2
2749,PG,201566,PG,1,1,2
2749,PG,201566,PG,1,1,2
202689,PG,1626156,PG,0,0,1
202689,PG,1626156,PG,0,0,1
202391,PG,1626156,PG,0,0,1
1626156,PG,202391,PG,0,1,0
202391,PG,1626156,PG,0,0,1
202689,PG,1626156,PG,0,0,1
202689,PG,1626156,PG,0,0,1
202689,PG,1626156,PG,0,0,1
202391,PG,1626156,PG,1,0,1
1626156,PG,202689,PG,1,1,0
202689,PG,1626156,PG,1,0,1
202689,PG,1626156,PG,1,0,1
202689,PG,1626156,PG,1,0,1
1626156,PG,202689,PG,1,1,0
201588,PG,201952,PG,0,4,1
201952,PG,201588,PG,0,1,4
201952,PG,201588,PG,0,1,4
201588,PG,201952,PG,0,4,1
201588,PG,201952,PG,1,4,1
203471,PG,201588,PG,1,1,4
201588,PG,201952,PG,1,4,1
201588,PG,201952,PG,1,4,1
201952,PG,201588,PG,1,1,4
101108,PG,202322,PG,0,3,0
101108,PG,202322,PG,0,3,0
202322,PG,101108,PG,0,0,3
101108,PG,202322,PG,0,3,0
202322,PG,101108,PG,0,0,3
101108,PG,202322,PG,0,3,0
202322,PG,101108,PG,0,0,3
202322,PG,101108,PG,0,0,3
202322,PG,101108,PG,0,0,3
202322,PG,101108,PG,0,0,3
202322,PG,101108,PG,0,0,3
202322,PG,101108,PG,1,0,3
202322,PG,101108,PG,1,0,3
202322,PG,101108,PG,1,0,3
101108,PG,202322,PG,1,3,0
101108,PG,201196,PG,1,3,3
202322,PG,101108,PG,1,0,3
101108,PG,202322,PG,1,3,0
202322,PG,101108,PG,1,0,3
101108,PG,202322,PG,1,3,0
101108,PG,202322,PG,1,3,0
101108,PG,202322,PG,1,3,0
202322,PG,101108,PG,1,0,3
101108,PG,202322,PG,1,3,0
202322,PG,101108,PG,1,0,3
101127,PG,201609,PG,0,1,4
101127,PG,201609,PG,0,1,4
201609,PG,101127,PG,0,4,1
203499,PG,201609,PG,0,1,4
101127,PG,201609,PG,0,1,4
201609,PG,101127,PG,0,4,1
201609,PG,101127,PG,1,4,1
201609,PG,101127,PG,1,4,1
101127,PG,201609,PG,1,1,4
101127,PG,201609,PG,1,1,4
203499,PG,201609,PG,1,1,4
201609,PG,203499,PG,1,4,1
201609,PG,101127,PG,1,4,1
201565,PG,200768,PG,0,1,3
200768,PG,201166,PG,0,3,4
200768,PG,201565,PG,0,3,1
201565,PG,200768,PG,0,1,3
200768,PG,201565,PG,0,3,1
201565,PG,200768,PG,0,1,3
200768,PG,201565,PG,0,3,1
201565,PG,200768,PG,0,1,3
200768,PG,201166,PG,0,3,4
201166,PG,200768,PG,0,4,3
201166,PG,200768,PG,1,4,3
200768,PG,201565,PG,1,3,1
201565,PG,200768,PG,1,1,3
201565,PG,200768,PG,1,1,3
201565,PG,200768,PG,1,1,3
201565,PG,200768,PG,1,1,3
200768,PG,201565,PG,1,3,1
200768,PG,201166,PG,1,3,4
200768,PG,201166,PG,1,3,4
201565,PG,200768,PG,1,1,3
203487,PG,200826,PG,0,0,1
203487,PG,200826,PG,0,0,1
200826,PG,203487,PG,1,1,0
203487,PG,200826,PG,1,0,1
203487,PG,101109,PG,1,0,1
203487,PG,2734,PG,1,0,3
201937,PG,201988,PG,0,2,4
2225,PG,201937,PG,0,3,2
201988,PG,201937,PG,0,4,2
201937,PG,2225,PG,1,2,3
2225,PG,201937,PG,1,3,2
201937,PG,2225,PG,1,2,3
201937,PG,2225,PG,1,2,3
201937,PG,2225,PG,1,2,3
201988,PG,201937,PG,1,4,2
201988,PG,201937,PG,1,4,2
101179,PG,203521,PG,1,4,4
203521,PG,101179,PG,1,4,4
203504,PG,204456,PG,0,4,2
203504,PG,202397,PG,0,4,0
202397,PG,203504,PG,0,0,4
202397,PG,203526,PG,0,0,1
202397,PG,203526,PG,0,0,1
202397,PG,203504,PG,0,0,4
203504,PG,202397,PG,0,4,0
203504,PG,204456,PG,0,4,2
202397,PG,203526,PG,1,0,1
202397,PG,203526,PG,1,0,1
203477,PG,203504,PG,1,1,4
204456,PG,203504,PG,1,2,4
203504,PG,204456,PG,1,4,2
203477,PG,203504,PG,1,1,4
202397,PG,203526,PG,1,0,1
202397,PG,203526,PG,1,0,1
203504,PG,203138,PG,1,4,4
202397,PG,203504,PG,1,0,4
203504,PG,202397,PG,1,4,0
203504,PG,204456,PG,1,4,2
202397,PG,203526,PG,1,0,1
203477,PG,203526,PG,1,1,1
203504,PG,202397,PG,1,4,0
204456,PG,203526,PG,1,2,1
203504,PG,204456,PG,1,4,2
204456,PG,203504,PG,1,2,4
203504,PG,202397,PG,1,4,0
202397,PG,203504,PG,1,0,4
203504,PG,203138,PG,1,4,4
203504,PG,203138,PG,1,4,4
203504,PG,203138,PG,1,4,4
200765,PG,201939,PG,0,2,3
201954,PG,201939,PG,0,4,3
201939,PG,201954,PG,0,3,4
201939,PG,201954,PG,0,3,4
201939,PG,201954,PG,0,3,4
201954,PG,201939,PG,0,4,3
2733,PG,200765,PG,0,4,2
201939,PG,200765,PG,1,3,2
200765,PG,201939,PG,1,2,3
201954,PG,201939,PG,1,4,3
201939,PG,201954,PG,1,3,4
201954,PG,201939,PG,1,4,3
2733,PG,201954,PG,1,4,4
201954,PG,2733,PG,1,4,4
201954,PG,2733,PG,1,4,4
2733,PG,201954,PG,1,4,4
201954,PG,2733,PG,1,4,4
201939,PG,200765,PG,1,3,2
201939,PG,200765,PG,1,3,2
201939,PG,201954,PG,1,3,4
201954,PG,201939,PG,1,4,3
201954,PG,201939,PG,1,4,3
2733,PG,201954,PG,1,4,4
201954,PG,2733,PG,1,4,4
202704,PG,101181,PG,0,3,4
101181,PG,202704,PG,0,4,3
202704,PG,1626170,PG,0,3,1
202704,PG,101181,PG,0,3,4
202704,PG,101181,PG,0,3,4
101181,PG,202704,PG,0,4,3
101181,PG,202704,PG,0,4,3
202704,PG,204038,PG,0,3,4
202704,PG,101181,PG,1,3,4
202704,PG,101181,PG,1,3,4
202704,PG,101181,PG,1,3,4
1626170,PG,202704,PG,1,1,3
202704,PG,101181,PG,1,3,4
202704,PG,204038,PG,1,3,4
202704,PG,101181,PG,1,3,4
202704,PG,204038,PG,1,3,4
202704,PG,101181,PG,1,3,4
201952,PG,201976,PG,0,1,4
201952,PG,201951,PG,0,1,1
201951,PG,201952,PG,0,1,1
201952,PG,201976,PG,0,1,4
201976,PG,201952,PG,0,4,1
201976,PG,201952,PG,0,4,1
201952,PG,201976,PG,0,1,4
201976,PG,201952,PG,0,4,1
201952,PG,201976,PG,0,1,4
201952,PG,201976,PG,0,1,4
201976,PG,201952,PG,1,4,1
201952,PG,201951,PG,1,1,1
201952,PG,201976,PG,1,1,4
201952,PG,201951,PG,1,1,1
201951,PG,201952,PG,1,1,1
201952,PG,201976,PG,1,1,4
201951,PG,201952,PG,1,1,1
201609,PG,201144,PG,0,4,3
201144,PG,201609,PG,0,3,4
201609,PG,201144,PG,0,4,3
201144,PG,201609,PG,0,3,4
201144,PG,201609,PG,0,3,4
201609,PG,201144,PG,0,4,3
201609,PG,201144,PG,0,4,3
201609,PG,201144,PG,1,4,3
201144,PG,201609,PG,1,3,4
201144,PG,201609,PG,1,3,4
201144,PG,201609,PG,1,3,4
201144,PG,201609,PG,1,3,4
201609,PG,201144,PG,1,4,3
201566,PG,203487,PG,0,2,0
203487,PG,201566,PG,0,0,2
203487,PG,201566,PG,0,0,2
203487,PG,201566,PG,0,0,2
201566,PG,203487,PG,0,2,0
201566,PG,203487,PG,0,2,0
203487,PG,201566,PG,0,0,2
203487,PG,201566,PG,0,0,2
203487,PG,201566,PG,0,0,2
201566,PG,203487,PG,0,2,0
201566,PG,203487,PG,0,2,0
201566,PG,203487,PG,0,2,0
201566,PG,203487,PG,0,2,0
203487,PG,201566,PG,0,0,2
201566,PG,203487,PG,1,2,0
201566,PG,203487,PG,1,2,0
201566,PG,203487,PG,1,2,0
201566,PG,203487,PG,1,2,0
203487,PG,201566,PG,1,0,2
201566,PG,203487,PG,1,2,0
201566,PG,203487,PG,1,2,0
203487,PG,201566,PG,1,0,2
203487,PG,201566,PG,1,0,2
201566,PG,203487,PG,1,2,0
201566,PG,203487,PG,1,2,0
201566,PG,203487,PG,1,2,0
201566,PG,203487,PG,1,2,0
203487,PG,201566,PG,1,0,2
203521,PG,2749,PG,0,4,1
2749,PG,203521,PG,1,1,4
2749,PG,203521,PG,1,1,4
2749,PG,2590,PG,1,1,1
203521,PG,2749,PG,1,4,1
2749,PG,2590,PG,1,1,1
2590,PG,2749,PG,1,1,1
2749,PG,203521,PG,1,1,4
202689,PG,101108,PG,0,0,3
101108,PG,202689,PG,0,3,0
101108,PG,202689,PG,0,3,0
202689,PG,101108,PG,0,0,3
202689,PG,101108,PG,0,0,3
101108,PG,202689,PG,0,3,0
101108,PG,202689,PG,0,3,0
202689,PG,101108,PG,0,0,3
202689,PG,101108,PG,1,0,3
101108,PG,202689,PG,1,3,0
101108,PG,202689,PG,1,3,0
202689,PG,101108,PG,1,0,3
202689,PG,101108,PG,1,0,3
101108,PG,202689,PG,1,3,0
202689,PG,101108,PG,1,0,3
202689,PG,101108,PG,1,0,3
101108,PG,202689,PG,1,3,0
101108,PG,202689,PG,1,3,0
202689,PG,101108,PG,1,0,3
203894,PG,203499,PG,0,1,1
203894,PG,101127,PG,0,1,1
101127,PG,203901,PG,1,1,2
203499,PG,203894,PG,1,1,1
203894,PG,101127,PG,1,1,1
1626156,PG,202738,PG,1,1,3
1626156,PG,202738,PG,1,1,3
202738,PG,1626156,PG,1,3,1
1626156,PG,202738,PG,1,1,3
200768,PG,202322,PG,0,3,0
202322,PG,200768,PG,0,0,3
202322,PG,200768,PG,0,0,3
202322,PG,200768,PG,0,0,3
202322,PG,200768,PG,0,0,3
200768,PG,202322,PG,1,3,0
201196,PG,200768,PG,1,3,3
202322,PG,200768,PG,1,0,3
200768,PG,202322,PG,1,3,0
202322,PG,200768,PG,1,0,3
200768,PG,201196,PG,1,3,3
201196,PG,200768,PG,1,3,3
2550,PG,201588,PG,0,4,4
201166,PG,201588,PG,0,4,4
201166,PG,201588,PG,0,4,4
201588,PG,201166,PG,0,4,4
201166,PG,201588,PG,0,4,4
201588,PG,2550,PG,0,4,4
201166,PG,201588,PG,0,4,4
201166,PG,201588,PG,0,4,4
201588,PG,201166,PG,0,4,4
201166,PG,201588,PG,0,4,4
201588,PG,2550,PG,1,4,4
2550,PG,201588,PG,1,4,4
201588,PG,201166,PG,1,4,4
201588,PG,201166,PG,1,4,4
2550,PG,201588,PG,1,4,4
201588,PG,2550,PG,1,4,4
201588,PG,201166,PG,1,4,4
201166,PG,201588,PG,1,4,4
201166,PG,201588,PG,1,4,4
201166,PG,201588,PG,1,4,4
201588,PG,201166,PG,1,4,4
203526,PG,201937,PG,0,1,2
201937,PG,203526,PG,0,2,1
203504,PG,201937,PG,0,4,2
203504,PG,201937,PG,0,4,2
203504,PG,201937,PG,0,4,2
203504,PG,201937,PG,0,4,2
203526,PG,201937,PG,1,1,2
203526,PG,201937,PG,1,1,2
201937,PG,203504,PG,1,2,4
203504,PG,201937,PG,1,4,2
203504,PG,201937,PG,1,4,2
201937,PG,203504,PG,1,2,4
203526,PG,201937,PG,1,1,2
203526,PG,201937,PG,1,1,2
203504,PG,201937,PG,1,4,2
203504,PG,201937,PG,1,4,2
201937,PG,203504,PG,1,2,4
203504,PG,201937,PG,1,4,2
203504,PG,201937,PG,1,4,2
201937,PG,203504,PG,1,2,4
203504,PG,201937,PG,1,4,2
2733,PG,200826,PG,0,4,1
2733,PG,200826,PG,0,4,1
200826,PG,2733,PG,0,1,4
200826,PG,2733,PG,0,1,4
200826,PG,2733,PG,0,1,4
2733,PG,200826,PG,1,4,1
2733,PG,200826,PG,1,4,1
2733,PG,200826,PG,1,4,1
202397,PG,201954,PG,0,0,4
203477,PG,200765,PG,0,1,2
203477,PG,200765,PG,0,1,2
203477,PG,200765,PG,0,1,2
202397,PG,200765,PG,0,0,2
203477,PG,200765,PG,0,1,2
200765,PG,203477,PG,0,2,1
200765,PG,203477,PG,0,2,1
201954,PG,203477,PG,0,4,1
202397,PG,200765,PG,1,0,2
203477,PG,200765,PG,1,1,2
203477,PG,200765,PG,1,1,2
200765,PG,203477,PG,1,2,1
202397,PG,201954,PG,1,0,4
200765,PG,203477,PG,1,2,1
202397,PG,201954,PG,1,0,4
202397,PG,200765,PG,1,0,2
203477,PG,200765,PG,1,1,2
203477,PG,201954,PG,1,1,4
200765,PG,202397,PG,1,2,0
202397,PG,201954,PG,1,0,4
204456,PG,200765,PG,1,2,2
204456,PG,200765,PG,1,2,2
202397,PG,200765,PG,1,0,2
200765,PG,202397,PG,1,2,0
203477,PG,200765,PG,1,1,2
203477,PG,201954,PG,1,1,4
201588,PG,203487,PG,0,4,0
203487,PG,201588,PG,0,0,4
201588,PG,203487,PG,0,4,0
203487,PG,201588,PG,0,0,4
203487,PG,201588,PG,0,0,4
201588,PG,203487,PG,0,4,0
201588,PG,203487,PG,0,4,0
203487,PG,201588,PG,1,0,4
201588,PG,203487,PG,1,4,0
201588,PG,203487,PG,1,4,0
203487,PG,201588,PG,1,0,4
201588,PG,203487,PG,1,4,0
201588,PG,203487,PG,1,4,0
203487,PG,201588,PG,1,0,4
203487,PG,201588,PG,1,0,4
201976,PG,2733,PG,0,4,4
201976,PG,2733,PG,0,4,4
201976,PG,2733,PG,1,4,4
201951,PG,2733,PG,1,1,4
201937,PG,202704,PG,0,2,3
202704,PG,201937,PG,0,3,2
202704,PG,201937,PG,0,3,2
201937,PG,202704,PG,0,2,3
202704,PG,201937,PG,1,3,2
202704,PG,201937,PG,1,3,2
202704,PG,201937,PG,1,3,2
201937,PG,202704,PG,1,2,3
201937,PG,202704,PG,1,2,3
201937,PG,202704,PG,1,2,3
201937,PG,202704,PG,1,2,3
202704,PG,201937,PG,1,3,2
201937,PG,202704,PG,1,2,3
201950,PG,101108,PG,1,0,3
201950,PG,101108,PG,1,0,3
101108,PG,201950,PG,1,3,0
101108,PG,201950,PG,1,3,0
202322,PG,203901,PG,0,0,2
201196,PG,203901,PG,0,3,2
202322,PG,203901,PG,0,0,2
202322,PG,203901,PG,0,0,2
202322,PG,203901,PG,0,0,2
202322,PG,203901,PG,0,0,2
202322,PG,203901,PG,1,0,2
203901,PG,202322,PG,1,2,0
201196,PG,203901,PG,1,3,2
202322,PG,203901,PG,1,0,2
203901,PG,202322,PG,1,2,0
202322,PG,203901,PG,1,0,2
201609,PG,2734,PG,0,4,3
101114,PG,201609,PG,0,1,4
201609,PG,101109,PG,0,4,1
201609,PG,101109,PG,0,4,1
200826,PG,201609,PG,1,1,4
101109,PG,201609,PG,1,1,4
200826,PG,201609,PG,1,1,4
201609,PG,200826,PG,1,4,1
101109,PG,201609,PG,1,1,4
200768,PG,202689,PG,0,3,0
200768,PG,202689,PG,0,3,0
202689,PG,200768,PG,0,0,3
202689,PG,200768,PG,0,0,3
200768,PG,202689,PG,0,3,0
202689,PG,200768,PG,0,0,3
200768,PG,202689,PG,0,3,0
200768,PG,202689,PG,1,3,0
200768,PG,202689,PG,1,3,0
202689,PG,200768,PG,1,0,3
202689,PG,200768,PG,1,0,3
202689,PG,200768,PG,1,0,3
200768,PG,202689,PG,1,3,0
200768,PG,202689,PG,1,3,0
202689,PG,200768,PG,1,0,3
2550,PG,101181,PG,0,4,4
101181,PG,201166,PG,0,4,4
204038,PG,201166,PG,0,4,4
201166,PG,204038,PG,0,4,4
201166,PG,101181,PG,0,4,4
101181,PG,2550,PG,0,4,4
101181,PG,2550,PG,0,4,4
101181,PG,201166,PG,0,4,4
201166,PG,204038,PG,1,4,4
101181,PG,201166,PG,1,4,4
202397,PG,1626156,PG,0,0,1
204456,PG,1626156,PG,0,2,1
204456,PG,1626156,PG,0,2,1
1626156,PG,204456,PG,0,1,2
204456,PG,1626156,PG,0,2,1
1626156,PG,202397,PG,1,1,0
1626156,PG,204456,PG,1,1,2
1626156,PG,204456,PG,1,1,2
202397,PG,1626156,PG,1,0,1
1626156,PG,204456,PG,1,1,2
202397,PG,1626156,PG,1,0,1
1626156,PG,202397,PG,1,1,0
1626156,PG,204456,PG,1,1,2
1626156,PG,204456,PG,1,1,2
204456,PG,1626156,PG,1,2,1
1626156,PG,204456,PG,1,1,2
1626156,PG,204456,PG,1,1,2
202738,PG,101127,PG,0,3,1
202738,PG,203499,PG,0,3,1
202738,PG,203499,PG,0,3,1
202738,PG,101127,PG,0,3,1
202738,PG,203499,PG,0,3,1
202738,PG,203499,PG,0,3,1
202738,PG,203499,PG,0,3,1
202738,PG,203499,PG,0,3,1
202738,PG,101127,PG,1,3,1
202738,PG,101127,PG,1,3,1
202738,PG,203499,PG,1,3,1
202738,PG,101127,PG,1,3,1
202738,PG,101127,PG,1,3,1
101127,PG,202738,PG,1,1,3
202738,PG,203499,PG,1,3,1
202738,PG,203499,PG,1,3,1
202738,PG,203499,PG,1,3,1
203499,PG,202738,PG,1,1,3
101179,PG,201954,PG,0,4,4
101179,PG,201954,PG,0,4,4
101179,PG,200765,PG,0,4,2
200765,PG,101179,PG,0,2,4
201954,PG,101179,PG,0,4,4
201954,PG,101179,PG,1,4,4
201954,PG,101179,PG,1,4,4
101179,PG,201954,PG,1,4,4
101179,PG,201954,PG,1,4,4
201566,PG,202391,PG,0,2,0
202689,PG,201566,PG,0,0,2
202689,PG,201566,PG,0,0,2
201566,PG,202689,PG,0,2,0
202689,PG,201566,PG,0,0,2
202689,PG,201566,PG,0,0,2
202689,PG,201566,PG,0,0,2
202689,PG,201566,PG,1,0,2
201566,PG,202391,PG,1,2,0
201566,PG,202689,PG,1,2,0
201566,PG,202689,PG,1,2,0
201566,PG,202689,PG,1,2,0
201566,PG,202689,PG,1,2,0
201566,PG,202689,PG,1,2,0
201566,PG,202391,PG,1,2,0
201566,PG,202391,PG,1,2,0
202689,PG,201566,PG,1,0,2
201566,PG,202689,PG,1,2,0
202689,PG,201566,PG,1,0,2
201588,PG,202704,PG,0,4,3
201588,PG,202704,PG,0,4,3
202704,PG,201588,PG,0,3,4
202704,PG,201588,PG,1,3,4
202704,PG,201588,PG,1,3,4
202704,PG,201588,PG,1,3,4
202704,PG,201588,PG,1,3,4
201588,PG,202704,PG,1,4,3
202704,PG,201588,PG,1,3,4
202704,PG,201588,PG,1,3,4
